Dealer Name,Brand,Period,Time Period,Vehicle Line,Vehicle Type,Vehicles Sales Total
Zapata (Suc. Pachuca),FORD,202401,MTD,ESCAPE NA FHEV,OUTFITTERS,11
Zapata (Suc. Pachuca),FORD,202401,MTD,FORD BRONCO,OUTFITTERS,0
Zapata (Suc. Pachuca),FORD,202401,MTD,LOBO CREW,TRUCKS,15
Zapata (Suc. Pachuca),FORD,202401,MTD,RANGER TAILANDIA,TRUCKS,6
Zapata (Suc. Pachuca),FORD,202401,MTD,TERRITORY,OUTFITTERS,4
Zapata (Suc. Pachuca),FORD,202401,MTD,MUSTANG,CARS,11
Zapata (Suc. Pachuca),FORD,202401,MTD,F-150 CREW,TRUCKS,4
Zapata (Suc. Pachuca),FORD,202401,MTD,BRONCO SPORT,OUTFITTERS,11
Zapata (Suc. Pachuca),FORD,202401,MTD,EXPEDITION,OUTFITTERS,8
Zapata (Suc. Pachuca),FORD,202401,MTD,MAVERICK,TRUCKS,12
Zapata (Suc. Pachuca),FORD,202401,MTD,EXPLORER,OUTFITTERS,13
Zapata (Suc. Pachuca),FORD,202401,MTD,RANGER SILVERTON,TRUCKS,11
Zapata (Suc. Pachuca),FORD,202401,MTD,TRANSIT V363,TRUCKS,2
Zapata (Suc. Pachuca),FORD,202401,MTD,TRANSIT COURIER,TRUCKS,4
Zapata (Suc. Pachuca),FORD,202402,MTD,LOBO CREW,TRUCKS,12
Zapata (Suc. Pachuca),FORD,202402,MTD,F-350,TRUCKS,1
Zapata (Suc. Pachuca),FORD,202402,MTD,FORD BRONCO,OUTFITTERS,7
Zapata (Suc. Pachuca),FORD,202402,MTD,MAVERICK,TRUCKS,13
Zapata (Suc. Pachuca),FORD,202402,MTD,TERRITORY,OUTFITTERS,12
Zapata (Suc. Pachuca),FORD,202402,MTD,RANGER SILVERTON,TRUCKS,8
Zapata (Suc. Pachuca),FORD,202402,MTD,BRONCO SPORT,OUTFITTERS,8
Zapata (Suc. Pachuca),FORD,202402,MTD,RAPTOR,TRUCKS,12
Zapata (Suc. Pachuca),FORD,202402,MTD,RANGER TAILANDIA,TRUCKS,0
Zapata (Suc. Pachuca),FORD,202402,MTD,ESCAPE NA FHEV,OUTFITTERS,7
Zapata (Suc. Pachuca),FORD,202402,MTD,TRANSIT V363,TRUCKS,13
Zapata (Suc. Pachuca),FORD,202402,MTD,EXPLORER,OUTFITTERS,12
Zapata (Suc. Pachuca),FORD,202402,MTD,F-450,TRUCKS,10
